geneID	term	Estimate	Std.Error	t.value	p.value	fdr	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
AHB37625.1	Western	0.4220825739321142	0.04609005246815057	9.157780287270974	2.517938435280702e-16	8.513029947853802e-16	KF540226.1	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
AKA86814	Western	-0.1423746310816288	0.037256364241405195	-3.8214848383782836	1.899504389715372e-4	2.568853555615075e-4	KP399637	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
ANZ79240.1	Western	-0.3138926067847822	0.047646244634581926	-6.587982099998645	6.203131717665996e-10	1.2233954220952382e-9	KX000272.1	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
ANZ79241.1	Western	0.13017346666778953	0.04863654066411212	2.676454058827457	0.008220434107556527	0.009809257506496024	KX000273.1	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
APB03214.1	Western	-0.15256159144849654	0.05051080501905529	-3.0203753709912644	0.0029424141157207515	0.0037305607538602385	KX531044.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;fosfomycin;cephalosporin;glycylcycline;bicyclomycin;penam;nucleoside antibiotic;tetracycline antibiotic;peptide antibiotic;acridine dye;oxazolidinone antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;isoniazid;benzalkonium chloride;rhodamine;antibacterial free fatty acids;nitroimidazole antibiotic	antibiotic efflux
APB03219.1	Western	-0.10884079703413091	0.03717766013596013	-2.9275859921279586	0.003917542737649723	0.004922929811913811	KX531049.1	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
AUI09862.1	Western	-0.301143304478877	0.05593882230798803	-5.38344019509102	2.5808713881076125e-7	4.164587921719102e-7	MG649393.1	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
AVI44920.1	Western	-0.2857824284245884	0.04462093518423981	-6.404671422608983	1.6235537208701513e-9	3.115467950858939e-9	MF095097.1	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
AYV52072.1	Western	-0.24623495975253384	0.04418373428558504	-5.572977561402458	1.048715451375548e-7	1.7519716952391509e-7	CP033607.1	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
BAA15934.1	Western	-1.1150952772786304	0.09829115341132634	-11.344818313528256	3.1385359636320123e-22	1.7141234878297916e-21	AP009048	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
BAA15935.1	Western	-0.25345460995997116	0.051972971061123314	-4.8766619414905765	2.596083461829718e-6	3.8004520781424734e-6	AP009048.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
BAA16344.1	Western	0.20602133285450092	0.09939029125962968	2.0728516864522217	0.03979973134324562	0.044853665482070454	AP009048.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
BAA16547.1	Western	-1.0126494418270775	0.15712372997227683	-6.444917276376719	1.3160504172309215e-9	2.5599884828327514e-9	AP009048	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;fosfomycin;cephalosporin;glycylcycline;bicyclomycin;penam;nucleoside antibiotic;tetracycline antibiotic;peptide antibiotic;acridine dye;oxazolidinone antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;isoniazid;benzalkonium chloride;rhodamine;antibacterial free fatty acids;nitroimidazole antibiotic	antibiotic efflux
BAA34300.1	Western	1.5807230178154994	0.09248933083489103	17.09086879044844	7.762897906497818e-38	1.6529530188033403e-36	AB015853	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
BAB38260.1	Western	-1.8356651605776053	0.17737868020046993	-10.348848906209993	1.6384996876557886e-19	6.843145754327117e-19	BA000007.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
BAD59497.1	Western	0.07718161014568274	0.035058805524180295	2.201490010618019	0.029141941652193557	0.03310524571689188	AP006618.1	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement
BAE06008.1	Western	0.9131423421048777	0.09618751561173823	9.493356141880042	3.2566385830562714e-17	1.1561066969849763e-16	AB219524.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
BAE77933.1	Western	-3.0032446174089817	0.38483994971069957	-7.803879559974601	7.52768831197417e-13	1.908806679107736e-12	AP009048.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
BAE78082.1	Western	-3.335830657880983	0.44815700762211386	-7.443441921349486	5.819674505321247e-12	1.2938992148079465e-11	AP009048.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;fosfomycin;cephalosporin;glycylcycline;bicyclomycin;penam;nucleoside antibiotic;tetracycline antibiotic;peptide antibiotic;acridine dye;oxazolidinone antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;isoniazid;benzalkonium chloride;rhodamine;antibacterial free fatty acids;nitroimidazole antibiotic	antibiotic efflux
BAE78083.1	Western	-3.2206381614031008	0.4252886337845663	-7.572829146039543	2.8064014988476993e-12	6.641816880606222e-12	AP009048.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;fosfomycin;cephalosporin;glycylcycline;bicyclomycin;penam;nucleoside antibiotic;tetracycline antibiotic;peptide antibiotic;acridine dye;oxazolidinone antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;isoniazid;benzalkonium chloride;rhodamine;antibacterial free fatty acids;nitroimidazole antibiotic	antibiotic efflux
BAE78116.1	Western	-2.2044512317970235	0.24614176319839157	-8.95602275352283	8.525199421346914e-16	2.7513143587074133e-15	AP009048	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
BAE85478.1	Western	0.2514629286748339	0.05170016872547021	4.863870561237648	2.7464689422953393e-6	3.979577446999369e-6	AP008230.1	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
CAA09666.1	Western	-2.462295504316854	0.41401110133441765	-5.947414203098709	1.674557002028872e-8	2.8998426132695102e-8	AJ011502.1	General Bacterial Porin with reduced permeability to beta-lactams	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic
CAA10975.1	Western	0.8271137621294002	0.07990238766337422	10.351552516978588	1.6110898513820752e-19	6.843145754327117e-19	AJ222769.3	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
CAA37477.1	Western	-0.4965499577777857	0.04508609859564341	-11.01337159888495	2.539267044867316e-21	1.2877711441827102e-20	X53401	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
CAA45050.1	Western	-0.31577092795063405	0.035621334524669826	-8.864657435334	1.4769935709477583e-15	4.462406107969823e-15	X63451	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
CAA53189	Western	0.22015522179140276	0.055592916429298145	3.960130821188188	1.1276355591123656e-4	1.5546043630481157e-4	X75439	antibiotic resistant isoleucyl-tRNA synthetase (ileS)	mupirocin	antibiotic target alteration
CAA79727.1	Western	2.3018632539758803	0.11838085567032178	19.44455664678018	7.04590106458629e-44	3.335059837237511e-42	Z21523	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
CAC14595.1	Western	1.1378256271361353	0.08794313985932736	12.938196531943088	1.2920854534918446e-26	1.0090746057150201e-25	AJ252200	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
CAD55718.1	Western	-0.18982467283792484	0.06619828820666326	-2.867516335850174	0.004698382058954457	0.005801480455404634	AJ514254	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
CAE00499.1	Western	-0.2554334142044895	0.1050119677615118	-2.4324219386555392	0.01610783070758094	0.018748458692430272	AJ574887.1	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic;glycylcycline;tetracycline antibiotic;acridine dye	antibiotic efflux
CAE18141.1	Western	1.320923408223567	0.09451133406249826	13.976349200087151	1.819843564102077e-29	1.5201046241323232e-28	AJ579365.1	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
CAH35802.1	Western	1.6577321921397843	0.10640871021715077	15.578914439962771	8.107340028634393e-34	1.27915809340676e-32	BX571965.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
CAJ77856.1	Western	0.9815902780459567	0.09733889246692602	10.08425566768682	8.506452427733858e-19	3.2646384992924534e-18	CT025801.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
CBH51823.1	Western	-0.7243614763458608	0.05668656130914917	-12.778363330162865	3.5598506189228696e-26	2.4071370851764166e-25	FN594949	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
CBI75871.1	Western	-0.8410031664414562	0.08146842133115235	-10.323057114645092	1.9245234836430072e-19	7.808066705065914e-19	FN645454.1	ampC-type beta-lactamase	cephalosporin;penam	antibiotic inactivation
CBY88983.1	Western	-0.13176462109229645	0.049079381658727626	-2.684724555181212	0.008028521591037716	0.009661441236672504	FR772051	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
CCP46065.1	Western	-0.18050994232058698	0.05833788481879087	-3.0942147265244007	0.002332002481584681	0.0029832824539191417	AL123456.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
CDO61513.1	Western	-0.21757193715224712	0.04039783089222411	-5.385733153166052	2.553205286956745e-7	4.164587921719102e-7	HG970100.1	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;rifamycin antibiotic;pleuromutilin antibiotic;nitroimidazole antibiotic	antibiotic efflux
EGP45231.1	Western	0.7497636651118991	0.1117214312783124	6.711010202188887	3.2260422491990855e-10	6.544257134089573e-10	AFRQ01000061.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
NP_252896.1	Western	1.0901150185941946	0.09948220322716221	10.957889785623024	3.600843549488784e-21	1.7631716690600253e-20	NC_002516	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;glycylcycline;penam;tetracycline antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;triclosan;antibacterial free fatty acids	antibiotic efflux
NP_388442.1	Western	-0.1018415385497279	0.04024279241253291	-2.530677729958201	0.012355945434361136	0.014500365716357698	NC_000964.3	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target protection
NP_862226.1	Western	-0.46501763220186	0.031039041121860695	-14.981700960934312	3.319446503773019e-32	3.9280116961314064e-31	NC_004939.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;fosfomycin;cephalosporin;glycylcycline;bicyclomycin;penam;nucleoside antibiotic;tetracycline antibiotic;peptide antibiotic;acridine dye;oxazolidinone antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;isoniazid;benzalkonium chloride;rhodamine;antibacterial free fatty acids;nitroimidazole antibiotic	antibiotic efflux
SIP52035.1	Western	-0.5346275572035938	0.05800729839029759	-9.216556744401263	1.7623778744259228e-16	6.103845321182465e-16	LT673656.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;triclosan;penem;antibacterial free fatty acids	antibiotic efflux
WP_000192137.1	Western	-0.21414575617589818	0.040055845600052466	-5.346179888800492	3.073610656739842e-7	4.903963070304018e-7	NC_009641.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;fosfomycin;cephalosporin;glycylcycline;bicyclomycin;penam;nucleoside antibiotic;tetracycline antibiotic;peptide antibiotic;acridine dye;oxazolidinone antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;isoniazid;benzalkonium chloride;rhodamine;antibacterial free fatty acids;nitroimidazole antibiotic	antibiotic efflux
